t,o,c,h,l,v
2010-06-29,1.2666666666666666,1.5926666666666667,1.6666666666666667,1.1693333333333333,18766300.0
2010-06-30,1.7193333333333332,1.5886666666666664,2.027946666666667,1.5533333333333335,17187100.0
2010-07-01,1.6666666666666667,1.464,1.728,1.3513333333333333,8218800.0
2010-07-02,1.5333333333333332,1.28,1.54,1.2473333333333334,5139800.0
2010-07-06,1.3333333333333335,1.074,1.3333333333333335,1.0553333333333335,6866900.0
2010-07-07,1.0933333333333333,1.0533333333333335,1.1086666666666667,0.9986666666666667,6921700.0
2010-07-08,1.076,1.1640000000000001,1.168,1.038,7711400.0
2010-07-09,1.172,1.16,1.1933333333333331,1.1033333333333333,4050600.0
2010-07-12,1.1966666666666665,1.1366666666666667,1.2046666666666668,1.1333333333333333,2202500.0
2010-07-13,1.1595866666666665,1.2093333333333334,1.2426666666666666,1.1266666666666665,2680100.0
2010-07-14,1.1960000000000002,1.3226666666666667,1.3433333333333333,1.1840066666666667,4195200.0
2010-07-15,1.3293333333333335,1.326,1.4333333333333333,1.2666666666666666,3739800.0
2010-07-16,1.38,1.3760000000000001,1.42,1.3366666666666667,2621300.0
2010-07-19,1.4246666666666667,1.4606666666666668,1.4833333333333334,1.3946666666666667,2486500.0
2010-07-20,1.4566666666666668,1.3533333333333333,1.4566666666666668,1.3366666666666667,1825300.0
2010-07-21,1.3773333333333333,1.3479999999999999,1.3933333333333333,1.3,1252500.0
2010-07-22,1.3666666666666667,1.4,1.4166666666666667,1.358,957800.0
2010-07-23,1.4126666666666667,1.4193333333333333,1.4373333333333331,1.404,653600.0
2010-07-26,1.4333333333333333,1.3966666666666667,1.4333333333333333,1.3533333333333333,922200.0
2010-07-27,1.394,1.37,1.412,1.3506666666666667,619700.0
2010-07-28,1.37,1.3813333333333333,1.3933333333333333,1.3673333333333335,467200.0
2010-07-29,1.3846666666666667,1.3566666666666667,1.392,1.3333333333333333,616000.0
2010-07-30,1.3466666666666667,1.3293333333333335,1.3626666666666667,1.3033333333333335,426900.0
2010-08-02,1.3666666666666667,1.3946666666666667,1.398,1.3555333333333333,718100.0
2010-08-03,1.4,1.4633333333333334,1.4633333333333334,1.388,1230500.0
2010-08-04,1.4633333333333334,1.4173333333333333,1.4786666666666666,1.3900000000000001,913000.0
2010-08-05,1.436,1.3633333333333333,1.4366666666666668,1.3366666666666667,796200.0
2010-08-06,1.34,1.306,1.3440066666666666,1.3013333333333332,741900.0
2010-08-09,1.3266666666666667,1.3066666666666669,1.332,1.2966666666666666,812700.0
2010-08-10,1.3099999999999998,1.2686666666666668,1.3099999999999998,1.2546666666666666,1281300.0
2010-08-11,1.246,1.1933333333333331,1.2586666666666666,1.1900000000000002,797600.0
